Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production,Happiness_Rank,GDP_Scaled,Predicted,Residual,Abs_Residual,Food_Quantile,Residuals
Azerbaijan,15928,90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,4.202188512266052,52,0.3511516650434563,5.45938154299964,-0.2513815429996402,0.2513815429996402,Medium-High,-0.2513815429996402
Algeria,63455,88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,4.802472692525209,53,0.24440357456982986,5.506824077282149,-0.2958240772821483,0.2958240772821483,High,-0.2958240772821483
Turkmenistan,7082,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,3.8502172417983895,54,0.374584172708399,5.431564036533935,-0.18456403653393494,0.18456403653393494,Medium-Low,-0.18456403653393494
Kyrgyzstan,8442,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,3.9264967892732203,55,-0.9298254206400626,5.437592672911736,-0.17659267291173553,0.17659267291173553,Medium-Low,-0.17659267291173553
Nigeria,228877,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,5.359604049827096,56,-0.5523016860382126,5.5508560947630095,-0.28585609476300977,0.28585609476300977,High,-0.28585609476300977
Mongolia,3280,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,3.5160062303860475,57,0.10380852858017521,5.405150184748475,-0.12015018474847494,0.12015018474847494,Low,-0.12015018474847494
Greece,23836,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,4.377251596478043,58,0.7104501159059071,5.473217383835465,-0.18621738383546482,0.18621738383546482,Medium-High,-0.18621738383546482
Belarus,17445,81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,4.24169586813981,59,0.41363835214996947,5.462503945933269,-0.13950394593326898,0.13950394593326898,Medium-High,-0.13950394593326898
Malaysia,31580,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,4.499425877654731,60,0.8145945944167624,5.482873239701371,-0.1438732397013709,0.1438732397013709,Medium-High,-0.1438732397013709
Turkey,145101,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,5.161673398536824,61,0.7156573398314499,5.535212951035077,-0.1622129510350767,0.1622129510350767,High,-0.1622129510350767
Bosnia and Herzegovina,6994,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,3.8447877188278463,62,0.09599769269186105,5.431134922560689,-0.045134922560689184,0.045134922560689184,Medium-Low,-0.045134922560689184
Dominican Republic,14399,77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,4.158362492095249,63,0.27825053008585754,5.45591782109459,-0.03091782109459018,0.03091782109459018,Medium-Low,-0.03091782109459018
Croatia,7404,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,3.8695250628572273,64,0.6427562048738511,5.433090000390102,-0.001090000390101764,0.001090000390101764,Medium-Low,-0.001090000390101764
Tajikistan,8543,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,3.9316612396844812,65,-1.0808349144808027,5.438000837284118,0.028999162715881432,0.028999162715881432,Medium-Low,0.028999162715881432
Montenegro,1502,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,3.176958980586908,66,0.37198056074562735,5.378354108321737,0.14464589167826247,0.14464589167826247,Low,0.14464589167826247
Serbia,14236,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,4.153418485037711,67,0.24961079849537263,5.455527079122647,0.14747292087735264,0.14747292087735264,Medium-Low,0.14747292087735264
Philippines,100429,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,5.001863462692524,68,-0.2633007581705892,5.522582619253377,0.10841738074662288,0.10841738074662288,High,0.10841738074662288
Pakistan,180994,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,5.25766657761834,69,-0.6017703133308686,5.542799623879755,0.11020037612024414,0.11020037612024414,High,0.11020037612024414
Portugal,21604,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,4.334554270647249,70,0.8145945944167624,5.46984286654663,0.22315713345336974,0.22315713345336974,Medium-High,0.22315713345336974
Peru,40447,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,4.606897052266272,71,0.13505187213343178,5.491367058218607,0.2056329417813929,0.2056329417813929,Medium-High,0.2056329417813929
Paraguay,8316,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,3.919966701483387,72,-0.1383273839575631,5.4370765774955565,0.3059234225044438,0.3059234225044438,Medium-Low,0.3059234225044438
Hungary,14348,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,4.156821635591626,73,0.7625223551613347,5.45579604187751,0.30220395812249023,0.30220395812249023,Medium-Low,0.30220395812249023
Kazakhstan,32695,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,4.514494624703537,74,0.6896212202037361,5.484064174881686,0.3249358251183141,0.3249358251183141,Medium-High,0.3249358251183141
Honduras,8263,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,3.917190308511564,75,-0.6928967320278671,5.436857149559457,0.42314285044054323,0.42314285044054323,Medium-Low,0.42314285044054323
Japan,153161,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,5.18515102876009,76,1.0905774624705284,5.5370684693268615,0.34893153067313865,0.34893153067313865,High,0.34893153067313865
Mauritius,1589,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,3.2013971243204513,77,0.551629786176853,5.380285539317268,0.507714460682732,0.507714460682732,Low,0.507714460682732
Jamaica,3878,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,3.5887197796000563,78,-0.20081407106407628,5.410896987954081,0.4791030120459183,0.4791030120459183,Low,0.4791030120459183
Estonia,2613,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,3.4173055832445254,79,0.8562523858211045,5.39734953134179,0.4956504686582095,0.4956504686582095,Low,0.4956504686582095
Latvia,3542,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,3.549371152333177,80,0.7260717876825353,5.407787129891068,0.5322128701089328,0.5322128701089328,Low,0.5322128701089328
Thailand,78567,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,4.89524569803456,81,0.36937694878285626,5.514156248675485,0.49384375132451463,0.49384375132451463,High,0.49384375132451463
Kuwait,6123,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,3.7870351820262234,82,1.5410023320299773,5.426570539894582,0.5944294601054176,0.5944294601054176,Low,0.5944294601054176
Ecuador,17149,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,4.2342641243787895,83,0.010078497920405716,5.46191658952816,0.5660834104718395,0.5660834104718395,Medium-High,0.5660834104718395
Cyprus,1454,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,3.162862993321926,84,0.9239462968531599,5.377240053710509,0.6687599462894909,0.6687599462894909,Low,0.6687599462894909
Romania,43598,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,4.639476528271741,85,0.6609814886132506,5.493941926852707,0.5760580731472933,0.5760580731472933,Medium-High,0.5760580731472933
Argentina,65063,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,4.813340759292092,86,0.4787286512192543,5.507683018175693,0.5783169818243072,0.5783169818243072,High,0.5783169818243072
Nicaragua,5358,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,3.729083757043612,87,-0.5575089099637555,5.421990438407866,0.6830095615921348,0.6830095615921348,Low,0.6830095615921348
Slovenia,3700,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,3.5683190850951116,88,0.9109282370393033,5.409284650530797,0.7087153494692036,0.7087153494692036,Low,0.7087153494692036
Colombia,64621,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,4.810380394961764,89,0.20014217120271635,5.50744905034704,0.6175509496529603,0.6175509496529603,High,0.6175509496529603
Lithuania,6340,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,3.8021577531869615,90,0.8588559977838756,5.427765728980564,0.7212342710194362,0.7212342710194362,Low,0.7212342710194362
Uzbekistan,47311,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,4.674971307182043,91,-0.4247246998624149,5.496747201955201,0.6772527980447993,0.6772527980447993,High,0.6772527980447993
Poland,70616,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,4.848909263621863,92,0.7755404149751913,5.510494120052998,0.6715058799470022,0.6715058799470022,High,0.6715058799470022
Slovakia,7709,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,3.8870543780509568,93,0.8796848934860466,5.434475402778465,0.7635245972215357,0.7635245972215357,Medium-Low,0.7635245972215357
Italy,121163,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,5.083373602307339,94,1.004658267699073,5.529024647413071,0.6939753525869286,0.6939753525869286,High,0.6939753525869286
El Salvador,6926,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,3.8405451876368386,95,-0.29714771368661713,5.430799620651871,0.8222003793481294,0.8222003793481294,Low,0.8222003793481294
Uruguay,5316,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,3.725666660314179,96,0.5620442340279386,5.421720373438532,0.871279626561468,0.871279626561468,Low,0.871279626561468
Brazil,312488,32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,5.494834734245271,97,0.24961079849537263,5.5615438433203455,0.7384561566796544,0.7384561566796544,High,0.7384561566796544
Panama,4524,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,3.655618583541222,98,0.6271345330972229,5.416184231735964,0.9048157682640356,0.9048157682640356,Low,0.9048157682640356
