Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production
Niger,16267,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,4.21133416373255
Nigeria,228877,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,5.359604049827096
Norway,9707,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,3.987129767659897
Pakistan,180994,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,5.25766657761834
Panama,4524,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,3.655618583541222
Paraguay,8316,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,3.919966701483387
Peru,40447,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,4.606897052266272
Philippines,100429,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,5.001863462692524
Poland,70616,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,4.848909263621863
Portugal,21604,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,4.334554270647249
Romania,43598,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,4.639476528271741
Rwanda,18547,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,4.268297087223766
Saudi Arabia,35912,28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,4.555251685522227
Senegal,10653,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,4.027512692448811
Serbia,14236,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,4.153418485037711
Sierra Leone,6144,129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,3.788521887222473
Slovakia,7709,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,3.8870543780509568
Slovenia,3700,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,3.5683190850951116
South Africa,59621,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,4.775406540203747
Spain,81051,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,4.908763735757603
Sri Lanka,20550,130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,4.312832959249337
Swaziland,1269,135,Swaziland,4.212,0.811,1.149,0.0,0.313,0.074,0.135,3.103803720955957
Sweden,19719,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,4.294906910605192
Switzerland,15983,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,4.203685470881907
Tajikistan,8543,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,3.9316612396844812
Thailand,78567,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,4.89524569803456
Togo,6379,139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,3.8048206787211623
Tunisia,18479,124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,4.266701966884088
Turkey,145101,79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,5.161673398536824
Turkmenistan,7082,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,3.8502172417983895
Uganda,40247,136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,4.604744304317692
Ukraine,79580,133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,4.900809392108099
United Arab Emirates,13095,21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,4.117138666403885
United Kingdom,122946,15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,5.089717936089447
Uruguay,5316,33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,3.725666660314179
Uzbekistan,47311,41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,4.674971307182043
Yemen,18325,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,4.263067682228994
Zambia,10180,138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,4.007790437445979
Zimbabwe,9524,146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,3.978864984347657
